name,country,latitude,longitude,timezone,skill_level_min,skill_level_max,primary_airport_iata,region_major,slug,active
Asilomar,"USA, California, Monterey",36.618016332942,-121.94275438786,America/Los_Angeles,beginner,intermediate,MRY,North America,asilomar,True
Asling's Beach,"Australia, NSW, Far South",-37.053379021789,149.9149274826,Australia/Sydney,beginner,intermediate,MIM,Oceania,asling's-beach,True
Assateague,"USA, North East, Virginia",38.206892714171,-75.146741867065,America/Los_Angeles,beginner,intermediate,OCE,North America,assateague,True
Assinie,Ivory Coast,5.1256530269629,-3.2908344268799,UTC,intermediate,advanced,ABO,Other,assinie,True
Assouinde Beach,Ivory Coast,5.151469719002,-3.4291076660156,UTC,beginner,intermediate,ABO,Other,assouinde-beach,True
Astillero,Nicaragua,11.512406513805,-86.17169380188,UTC,intermediate,advanced,ECI,Other,astillero,True
Astúrias,"Brazil, Sao Paulo North Coast",-24.007737505859,-46.266474723816,America/Sao_Paulo,beginner,intermediate,SSZ,South America,astúrias,True
Asu,"Indonesia, Sumatra Islands",0.86737180600208,97.333545684814,Asia/Jakarta,intermediate,advanced,GNS,Asia,asu,True
Asunchillo,Nicaragua,11.933988888889,-86.620797222222,UTC,intermediate,advanced,MGA,Other,asunchillo,True
Atacames,Ecuador,0.8765546261554,-79.8486328125,UTC,beginner,intermediate,ESM,Other,atacames,True
Ataka,"Japan, West Coast",36.419348580955,136.41509056091,UTC,intermediate,advanced,KMQ,Asia,ataka,True
Atalaia,"Brazil, Santa Catarina North",-26.915162996298,-48.639360666275,America/Sao_Paulo,beginner,intermediate,NVT,South America,atalaia,True
Atashika,"Japan, Kii Hanto",33.928904251145,136.14858627319,UTC,intermediate,advanced,SHM,Asia,atashika,True
Ateni Beach,"Greece, Aegean Sea",37.910397027122,24.839079380035,UTC,beginner,intermediate,JSY,Other,ateni-beach,True
Atlantic Beach,"USA, South East, North Carolina",34.700555555556,-76.740833333333,America/Los_Angeles,beginner,intermediate,EWN,North America,atlantic-beach,True
Atlantic Playa,"Canary, Tenerife",28.049541964101,-16.529799699783,UTC,beginner,intermediate,TFS,Other,atlantic-playa,True
Atlântida - Pier,"Brazil, Rio Grande do Sul",-29.784715833632,-50.022554397583,America/Sao_Paulo,beginner,intermediate,TSQ,South America,atlântida---pier,True
Atlantis,"Russia, Finnish Bay",60.143774774572,29.92635011673,UTC,intermediate,advanced,LED,Other,atlantis,True
Audierne - La Gamelle,"France, Brittany South",48.009276381517,-4.5475673675537,Europe/Paris,beginner,intermediate,UIP,Europe,audierne---la-gamelle,True
Audierne - La Jetée,"France, Brittany South",48.009400316321,-4.5407652854919,Europe/Paris,beginner,intermediate,UIP,Europe,audierne---la-jetée,True
Audreselles,"France, Normandy",50.821580525157,1.5920412540436,Europe/Paris,intermediate,advanced,CQF,Europe,audreselles,True
Augusta Rivermouth,"Australia, WA, Margaret River South",-34.324583089158,115.17954826355,Australia/Sydney,intermediate,advanced,MQZ,Oceania,augusta-rivermouth,True
Austinmer Beach,"Australia, NSW, Coal Coast",-34.306736188612,150.93571722507,Australia/Sydney,beginner,intermediate,WOL,Oceania,austinmer-beach,True
Austinmer pools,"Australia, NSW, Coal Coast",-34.307852838836,150.93586206436,Australia/Sydney,beginner,intermediate,WOL,Oceania,austinmer-pools,True
Avalanche,"South Africa, South East Port Elizabeth",-33.982495496277,25.669512748718,Africa/Johannesburg,intermediate,advanced,PLZ,Africa,avalanche,True
Avalanche,"USA, California, San Diego County",32.75212725693,-117.25529909133,America/Los_Angeles,intermediate,advanced,SAN,North America,avalanche,True
Avalanche,"USA, North West, Oregon Central",44.678830636948,-124.07905340195,America/Los_Angeles,intermediate,advanced,ONP,North America,avalanche,True
Avalanche Oahu,"USA, Hawaii, Oahu",21.595267725663,-158.11472609638,America/Los_Angeles,advanced,advanced,HDH,North America,avalanche-oahu,True
Avalon - 15th Street,"USA, North East, New Jersey",39.102607211263,-74.709123373032,America/Los_Angeles,beginner,intermediate,WWD,North America,avalon---15th-street,True
