name,full_location_name,country,country_clean,state_province,region_detail,latitude,longitude,timezone,skill_level_min,skill_level_max,primary_airport_iata,region_major,slug,active,nearest_city,nearest_city_distance_km,hotellook_city_id,hotellook_city_name,hotellook_city_distance_km
's-Gravenzande,'s-Gravenzande,Netherlands,Netherlands,,,52.0115007,4.142832756,UTC,beginner,intermediate,RTM,Europe,s-gravenzande-netherlands,TRUE,'s-Gravenzande,0,1419952,S-Gravenzande,2.1
't Zwin,'t Zwin,Belgium,Belgium,,,51.37092307,3.362846375,UTC,beginner,intermediate,OST,Europe,t-zwin-belgium,TRUE,Knokke-Heist,0,2387,Knokke-Heist,7.1
11th Ave Melkbos Strand,"11th Ave Melkbos Strand, SW Coast","South Africa, SW Coast",South Africa,,SW Coast,-33.67178278,18.40759277,Africa/Johannesburg,intermediate,advanced,CPT,Africa,11th-ave-melkbos-strand-sw-coast-south-africa,TRUE,,,,,
13th ave south surfside,"13th ave south surfside, South East, South Carolina","USA, South East, South Carolina",USA,South East,South Carolina,33.59517506,-78.98088455,America/Los_Angeles,beginner,intermediate,MYR,North America,13th-ave-south-surfside-south-east-south-carolina-usa,TRUE,Surfside Beach,0,22011,Surfside Beach,1.4
13th beach,"13th beach, VIC, Melbourne West","Australia, VIC, Melbourne West",Australia,VIC,Melbourne West,-38.28535548,144.4616318,Australia/Sydney,beginner,intermediate,AVV,Oceania,13th-beach-vic-melbourne-west-australia,TRUE,City of Greater Geelong,0,5286,Geelong,17.7
13th Street,"13th Street, South East, North Florida","USA, South East, North Florida",USA,South East,North Florida,28.29555765,-80.60898542,America/Los_Angeles,beginner,intermediate,COF,North America,13th-street-south-east-north-florida-usa,TRUE,Cocoa Beach,0,17772,Cocoa Beach,2.7
14th km.,"14th km., South","Morocco, South",Morocco,,South,30.50612172,-9.685896635,Africa/Casablanca,intermediate,advanced,AGA,Africa,14th-km-south-morocco,TRUE,Aourir,0,1511442,Aourir,5.1
15th St.,"15th St., California, San Diego County","USA, California, San Diego County",USA,California,San Diego County,32.95880562,-117.2696114,America/Los_Angeles,intermediate,advanced,NKX,North America,15th-st-california-san-diego-county-usa,TRUE,Del Mar,0,17093,Del Mar,0.4
16 MILE BEACH,"16 MILE BEACH, West Coast","South Africa, West Coast",South Africa,,West Coast,-33.3590115,18.15466046,Africa/Johannesburg,intermediate,advanced,SDB,Africa,16-mile-beach-west-coast-south-africa,TRUE,,,,,
17th Ave,"17th Ave, Gulf Coast, Florida","USA, Gulf Coast, Florida",USA,Gulf Coast,Florida,30.33508352,-87.11486578,America/Los_Angeles,beginner,intermediate,PNS,North America,17th-ave-gulf-coast-florida-usa,TRUE,Escambia County,0,,,
17th Ave,"17th Ave, Gulf Coast, Florida","USA, Gulf Coast, Florida",USA,Gulf Coast,Florida,30.33508352,-87.11486578,America/Los_Angeles,beginner,intermediate,PNS,North America,17th-ave-gulf-coast-florida-usa-2,TRUE,Escambia County,0,,,
17th Street,"17th Street, California, Orange County","USA, California, Orange County",USA,California,Orange County,33.66342499,-118.0143213,America/Los_Angeles,intermediate,advanced,SNA,North America,17th-street-california-orange-county-usa,TRUE,Huntington Beach,0,17172,Huntington Beach,1.4
1st beach,"1st beach, North East, Southern New England","USA, North East, Southern New England",USA,North East,Southern New England,41.48721845,-71.29152775,America/Los_Angeles,beginner,intermediate,NPT,North America,1st-beach-north-east-southern-new-england-usa,TRUE,Newport County,0,21919,Newport,1.8
1st Street Jetty,"1st Street Jetty, North East, Virginia","USA, North East, Virginia",USA,North East,Virginia,36.83041288,-75.96777141,America/Los_Angeles,beginner,intermediate,NTU,North America,1st-street-jetty-north-east-virginia-usa,TRUE,Virginia Beach,0,22798,Virginia Beach,2.7
20-20s,"20-20s, East Java","Indonesia, East Java",Indonesia,,East Java,-8.707180456,114.3744779,Asia/Jakarta,intermediate,advanced,BWX,Asia,20-20s-east-java-indonesia,TRUE,,,,,
29th Street,"29th Street, West Coast","Canada, West Coast",Canada,,West Coast,49.33496497,-123.1947291,UTC,beginner,intermediate,CXH,North America,29th-street-west-coast-canada,TRUE,West Vancouver,0,1522791,West Vancouver,3.9
2nd Avenue Pier,"2nd Avenue Pier, South East, South Carolina","USA, South East, South Carolina",USA,South East,South Carolina,33.68349661,-78.8856554,America/Los_Angeles,beginner,intermediate,MYR,North America,2nd-avenue-pier-south-east-south-carolina-usa,TRUE,Myrtle Beach,0,21988,Myrtle Beach,0.6
2nd Beach,"2nd Beach, North East, Southern New England","USA, North East, Southern New England",USA,North East,Southern New England,41.48774889,-71.25841856,America/Los_Angeles,beginner,intermediate,NPT,North America,2nd-beach-north-east-southern-new-england-usa,TRUE,Middletown,0,21917,Middletown,7.0
2nd corner,"2nd corner, NSW, Mid North Coast","Australia, NSW, Mid North Coast",Australia,NSW,Mid North Coast,-31.96674459,152.5974369,Australia/Sydney,intermediate,advanced,TRO,Oceania,2nd-corner-nsw-mid-north-coast-australia,TRUE,,,,,
2nd Light,"2nd Light, South East, North Florida","USA, South East, North Florida",USA,South East,North Florida,28.25273573,-80.60333133,America/Los_Angeles,beginner,intermediate,COF,North America,2nd-light-south-east-north-florida-usa,TRUE,Brevard County,0,,,
2nds,"2nds, WA, Perth City","Australia, WA, Perth City",Australia,WA,Perth City,-31.84558721,115.7501882,Australia/Sydney,intermediate,advanced,JFM,Oceania,2nds-wa-perth-city-australia,TRUE,Perth,0,5536,Perth,12.5
3 emes,"3 emes, Baja Norte","Mexico, Baja Norte",Mexico,,Baja Norte,31.89725742,-116.7137128,America/Mexico_City,intermediate,advanced,ESE,North America,3-emes-baja-norte-mexico,TRUE,Ensenada,0,4408,Ensenada,9.8
3 Mile,"3 Mile, California, Santa Cruz","USA, California, Santa Cruz",USA,California,Santa Cruz,36.9615002,-122.1173286,America/Los_Angeles,intermediate,advanced,WVI,North America,3-mile-california-santa-cruz-usa,TRUE,Santa Cruz County,0,17392,Santa Cruz,7.8
3 way,"3 way, NSW, South Coast","Australia, NSW, South Coast",Australia,NSW,South Coast,-35.24670559,150.5426502,Australia/Sydney,intermediate,advanced,NOA,Oceania,3-way-nsw-south-coast-australia,TRUE,,,,,
3-poles reef,"3-poles reef, SA, York Peninsula","Australia, SA, York Peninsula",Australia,SA,York Peninsula,-35.17761434,138.4667552,Australia/Sydney,advanced,advanced,ADL,Oceania,3-poles-reef-sa-york-peninsula-australia,TRUE,Adelaide,0,5052,Adelaide,29.7
"35th Street, IOP","35th Street, IOP, South East, South Carolina","USA, South East, South Carolina",USA,South East,South Carolina,32.79524749,-79.76688981,America/Los_Angeles,beginner,intermediate,CHS,North America,35th-street-iop-south-east-south-carolina-usa,TRUE,Isle of Palms,0,21971,Isle of Palms,2.8
36th street,"36th street, California, Orange County","USA, California, Orange County",USA,California,Orange County,33.61515538,-117.9372239,America/Los_Angeles,intermediate,advanced,SNA,North America,36th-street-california-orange-county-usa,TRUE,Newport Beach,0,17283,Newport Beach,0.9
36th Street,"36th Street, North East, New Jersey","USA, North East, New Jersey",USA,North East,New Jersey,39.15717812,-74.68589544,America/Los_Angeles,beginner,intermediate,WWD,North America,36th-street-north-east-new-jersey-usa,TRUE,Sea Isle City,0,,,
38th Parallel,38th Parallel,South Korea,South Korea,,,38.00606673,128.7326592,UTC,intermediate,advanced,YNY,Other,38th-parallel-south-korea,TRUE,Hyeonbuk,0,5791,Sokcho,25.7
38th St. Beach,"38th St. Beach, North East, New Jersey","USA, North East, New Jersey",USA,North East,New Jersey,39.38791729,-74.38632488,America/Los_Angeles,beginner,intermediate,ACY,North America,38th-st-beach-north-east-new-jersey-usa,TRUE,Brigantine,0,20357,Brigantine,3.1
3de Steen,"3de Steen, Cape Town","South Africa, Cape Town",South Africa,,Cape Town,-33.77276204,18.44432831,Africa/Johannesburg,intermediate,advanced,CPT,Africa,3de-steen-cape-town-south-africa,TRUE,Cape Town,0,678,Cape Town,17.1
3rd Groyne,"3rd Groyne, WA, Perth City","Australia, WA, Perth City",Australia,WA,Perth City,-31.83367008,115.7469052,Australia/Sydney,intermediate,advanced,JFM,Oceania,3rd-groyne-wa-perth-city-australia,TRUE,,,,,
4 Bobs,"4 Bobs, Mentawai","Indonesia, Mentawai",Indonesia,,Mentawai,-1.90912196,99.31065559,Asia/Jakarta,advanced,advanced,RKI,Asia,4-bobs-mentawai-indonesia,TRUE,,,,,
4 Mile,"4 Mile, California, Santa Cruz","USA, California, Santa Cruz",USA,California,Santa Cruz,36.96556358,-122.1250534,America/Los_Angeles,intermediate,advanced,WVI,North America,4-mile-california-santa-cruz-usa,TRUE,Santa Cruz County,0,17392,Santa Cruz,7.8
4 Miles,"4 Miles, Hawaii, Hawaii Island","USA, Hawaii, Hawaii Island",USA,Hawaii,Hawaii Island,19.73519884,-155.0279903,America/Los_Angeles,intermediate,advanced,ITO,North America,4-miles-hawaii-hawaii-island-usa,TRUE,Hilo,0,24981,Hilo,6.5
40th Street,"40th Street, California, Orange County","USA, California, Orange County",USA,California,Orange County,33.61729968,-117.9388976,America/Los_Angeles,intermediate,advanced,SNA,North America,40th-street-california-orange-county-usa,TRUE,Newport Beach,0,17283,Newport Beach,0.9
411 (quatro-once),411 (quatro-once),Panama,Panama,,,7.238515812,-80.51965177,UTC,intermediate,advanced,PDM,Central America,411-quatro-once-panama,TRUE,,,,,
42nd St. VA Beach,"42nd St. VA Beach, North East, Virginia","USA, North East, Virginia",USA,North East,Virginia,36.87093515,-75.98200321,America/Los_Angeles,beginner,intermediate,NTU,North America,42nd-st-va-beach-north-east-virginia-usa,TRUE,Virginia Beach,0,22798,Virginia Beach,2.7
46°,"46°, Mainland","Italy, Mainland",Italy,,Mainland,43.6387928,10.28497338,UTC,intermediate,advanced,PSA,Europe,46-mainland-italy,TRUE,,,,,
48th st. Myrtle Beach,"48th st. Myrtle Beach, South East, South Carolina","USA, South East, South Carolina",USA,South East,South Carolina,33.72065869,-78.84473026,America/Los_Angeles,beginner,intermediate,MYR,North America,48th-st-myrtle-beach-south-east-south-carolina-usa,TRUE,Myrtle Beach,0,21988,Myrtle Beach,0.6
48th Street (Ocean City),"48th Street (Ocean City), North East, Virginia","USA, North East, Virginia",USA,North East,Virginia,38.37323043,-75.06695151,America/Los_Angeles,beginner,intermediate,OCE,North America,48th-street-ocean-city-north-east-virginia-usa,TRUE,Worcester County,0,,,
4th groyne,"4th groyne, WA, Perth South","Australia, WA, Perth South",Australia,WA,Perth South,-32.50474921,115.7354844,Australia/Sydney,intermediate,advanced,JAD,Oceania,4th-groyne-wa-perth-south-australia,TRUE,City of Mandurah,0,5413,Mandurah,6.0
5 1 2km  &  8 1 2km,5 1 2km  &  8 1 2km,Ecuador,Ecuador,,,-2.731213362,-80.24688721,UTC,intermediate,advanced,GYE,Other,5-1-2km-8-1-2km-ecuador,TRUE,Posorja,0,1513317,Cuatro Hermanas,71.8
5 rocks,"5 rocks, Okinawa","Japan, Okinawa",Japan,,Okinawa,26.33154728,127.7418512,UTC,intermediate,advanced,DNA,Asia,5-rocks-okinawa-japan,TRUE,Chatan,0,25713,Naha,14.6
56th St.,"56th St., California, Orange County","USA, California, Orange County",USA,California,Orange County,33.62322304,-117.9451847,America/Los_Angeles,intermediate,advanced,SNA,North America,56th-st-california-orange-county-usa,TRUE,Newport Beach,0,17283,Newport Beach,0.9
57th Street,"57th Street, North East, New Jersey","USA, North East, New Jersey",USA,North East,New Jersey,39.2215568,-74.63570595,America/Los_Angeles,beginner,intermediate,ACY,North America,57th-street-north-east-new-jersey-usa,TRUE,Ocean City,0,20462,Ocean City,8.2
58th Street,"58th Street, North East, New Jersey","USA, North East, New Jersey",USA,North East,New Jersey,39.62155714,-74.19307709,America/Los_Angeles,beginner,intermediate,MJX,North America,58th-street-north-east-new-jersey-usa,TRUE,Long Beach Township,0,,,
5th Street Beach Haven,"5th Street Beach Haven, North East, New Jersey","USA, North East, New Jersey",USA,North East,New Jersey,39.5644284,-74.23316002,America/Los_Angeles,beginner,intermediate,ACY,North America,5th-street-beach-haven-north-east-new-jersey-usa,TRUE,Beach Haven,0,20344,Beach Haven,1.0
6 pillars,"6 pillars, South East Port Elizabeth","South Africa, South East Port Elizabeth",South Africa,,South East Port Elizabeth,-33.97844752,25.6558764,Africa/Johannesburg,intermediate,advanced,PLZ,Africa,6-pillars-south-east-port-elizabeth-south-africa,TRUE,Gqeberha,0,,,
7 olas,"7 olas, Caribbean","Colombia, Caribbean",Colombia,,Caribbean,11.3203742,-74.09847021,UTC,intermediate,advanced,SMR,Other,7-olas-caribbean-colombia,TRUE,Santa Marta,0,6249,Santa Marta,14.1
7 rocks,"7 rocks, Mindanao","Philippines, Mindanao",Philippines,,Mindanao,9.24427867,126.0914612,UTC,beginner,intermediate,TDG,Asia,7-rocks-mindanao-philippines,TRUE,,,,,
7th Avenue,"7th Avenue, South East, North Florida","USA, South East, North Florida",USA,South East,North Florida,30.29619343,-81.38904154,America/Los_Angeles,beginner,intermediate,NRB,North America,7th-avenue-south-east-north-florida-usa,TRUE,Jacksonville Beach,0,17840,Jacksonville Beach,0.4
81st Street,"81st Street, North East, Virginia","USA, North East, Virginia",USA,North East,Virginia,36.90679489,-75.9891808,America/Los_Angeles,beginner,intermediate,NTU,North America,81st-street-north-east-virginia-usa,TRUE,Virginia Beach,0,22798,Virginia Beach,2.7
8th Ave n.,"8th Ave n., South East, South Carolina","USA, South East, South Carolina",USA,South East,South Carolina,33.77021136,-78.77030969,America/Los_Angeles,beginner,intermediate,CRE,North America,8th-ave-n-south-east-south-carolina-usa,TRUE,Horry County,0,,,
8th street,8th street,Liberia,Liberia,,,6.290342251,-10.78841329,UTC,beginner,intermediate,MLW,Other,8th-street-liberia,TRUE,Monrovia,0,24200,Monrovia,2.9
90 Mile Beach,"90 Mile Beach, New Zealand NI, NW Coast","New Zealand, New Zealand NI, NW Coast",New Zealand,New Zealand NI,NW Coast,-35.03758654,173.153801,Pacific/Auckland,beginner,intermediate,KAT,Oceania,90-mile-beach-new-zealand-ni-nw-coast-new-zealand,TRUE,,,,,
92nd Street,"92nd Street, North East, Long Island NY","USA, North East, Long Island NY",USA,North East,Long Island NY,40.58333064,-73.8120532,America/Los_Angeles,beginner,intermediate,JFK,North America,92nd-street-north-east-long-island-ny-usa,TRUE,New York,0,20857,New York City,24.2
A Lanzada,"A Lanzada, Galicia","Spain, Galicia",Spain,,Galicia,42.45462112,-8.881416321,Europe/Madrid,intermediate,advanced,VGO,Europe,a-lanzada-galicia-spain,TRUE,O Grove,0,3803,O Grove,4.6
A-Bay,"A-Bay, QLD, Sunshine Coast","Australia, QLD, Sunshine Coast",Australia,QLD,Sunshine Coast,-26.38756403,153.1165409,Australia/Sydney,beginner,intermediate,NSV,Oceania,a-bay-qld-sunshine-coast-australia,TRUE,,,,,
A-Beach,"A-Beach, California, San Luis Obispo","USA, California, San Luis Obispo",USA,California,San Luis Obispo,35.40316568,-120.8695543,America/Los_Angeles,beginner,intermediate,SBP,North America,a-beach-california-san-luis-obispo-usa,TRUE,Morro Bay,0,17273,Morro Bay,4.5
Å-land,Å-land,Sweden,Sweden,,,57.33921503,12.06539154,UTC,beginner,intermediate,GOT,Europe,a-land-sweden,TRUE,Kungsbacka kommun,0,1479489,Hono,46.2
A-ver-o-mar,"A-ver-o-mar, North Porto","Portugal, North Porto",Portugal,,North Porto,41.39058989,-8.775200844,Europe/Lisbon,intermediate,advanced,OPO,Europe,a-ver-o-mar-north-porto-portugal,TRUE,,,,,
aaron's,"aaron's, Mentawai","Indonesia, Mentawai",Indonesia,,Mentawai,-2.278461512,99.59393978,Asia/Jakarta,intermediate,advanced,RKI,Asia,aaron-s-mentawai-indonesia,TRUE,,,,,
Ab,"Ab, California, San Diego County","USA, California, San Diego County",USA,California,San Diego County,32.71391277,-117.2569996,America/Los_Angeles,beginner,intermediate,NZY,North America,ab-california-san-diego-county-usa,TRUE,San Diego County,0,1517272,San Diego Country Estates,54.9
Abalolo Reef,"Abalolo Reef, Hawaii, Oahu","USA, Hawaii, Oahu",USA,Hawaii,Oahu,21.30222703,-157.8982222,America/Los_Angeles,intermediate,advanced,HNL,North America,abalolo-reef-hawaii-oahu-usa,TRUE,Waipahu,0,,,
Abalone Cove,"Abalone Cove, California, LA County","USA, California, LA County",USA,California,LA County,33.73777274,-118.3760226,America/Los_Angeles,beginner,intermediate,TOA,North America,abalone-cove-california-la-county-usa,TRUE,Rancho Palos Verdes,0,17341,Rancho Palos Verdes,1.3
Aber wrac'h point,"Aber wrac'h point, Brittany North","France, Brittany North",France,,Brittany North,48.57924766,-4.632797241,Europe/Paris,intermediate,advanced,BES,Europe,aber-wrac-h-point-brittany-north-france,TRUE,,,,,
Aberavon,"Aberavon, South Wales","UK, South Wales",UK,,South Wales,51.58532589,-3.810968399,Europe/London,beginner,intermediate,SWS,Europe,aberavon-south-wales-uk,TRUE,Neath Port Talbot,0,,,
Aberdaron,"Aberdaron, North Wales and NW England","UK, North Wales and NW England",UK,,North Wales and NW England,52.80649733,-4.703521729,Europe/London,beginner,intermediate,VLY,Europe,aberdaron-north-wales-and-nw-england-uk,TRUE,Gwynedd,0,1499853,Gwyddelwern,91.6
Aberdeen,"Aberdeen, East Scotland","UK, East Scotland",UK,,East Scotland,57.16463944,-2.079334259,Europe/London,beginner,intermediate,ABZ,Europe,aberdeen-east-scotland-uk,TRUE,Aberdeen City,0,,,
Aberdeen Area Beach,Aberdeen Area Beach,Sierra Leone,Sierra Leone,,,8.491069736,-13.29088211,UTC,beginner,intermediate,FNA,Other,aberdeen-area-beach-sierra-leone,TRUE,Freetown,0,24354,Freetown,6.7
abersoch,"abersoch, North Wales and NW England","UK, North Wales and NW England",UK,,North Wales and NW England,52.82379766,-4.506797791,Europe/London,beginner,intermediate,VLY,Europe,abersoch-north-wales-and-nw-england-uk,TRUE,Gwynedd,0,1499853,Gwyddelwern,91.6
Aberta-A-Nova,"Aberta-A-Nova, South","Portugal, South",Portugal,,South,38.1761,-8.782158333,Europe/Lisbon,intermediate,advanced,LIS,Europe,aberta-a-nova-south-portugal,TRUE,,,,,
Abrami Beach,"Abrami Beach, Greek Islands","Greece, Greek Islands",Greece,,Greek Islands,37.17329483,25.48014879,UTC,beginner,intermediate,JNX,Other,abrami-beach-greek-islands-greece,TRUE,Naxos Regional Unit,0,30528,Naxos Island,13.4
Abras,"Abras, Fernando do Noronha","Brazil, Fernando do Noronha",Brazil,,Fernando do Noronha,-3.827601809,-32.40058064,America/Sao_Paulo,intermediate,advanced,FEN,South America,abras-fernando-do-noronha-brazil,TRUE,,,,,
Accra Beach - Rockley Beach,Accra Beach - Rockley Beach,Barbados,Barbados,,,13.07267491,-59.59003687,UTC,beginner,intermediate,BGI,Other,accra-beach-rockley-beach-barbados,TRUE,,,,,
Achadas da Cruz,Achadas da Cruz,Madeira,Madeira,,,32.85107424,-17.22008228,UTC,intermediate,advanced,FNC,Other,achadas-da-cruz-madeira,TRUE,,,,,
Acid Drop,"Acid Drop, Fuerte Ventura","Canary, Fuerte Ventura",Canary,,Fuerte Ventura,28.74775223,-13.9338398,UTC,intermediate,advanced,FUE,Other,acid-drop-fuerte-ventura-canary,TRUE,,,,,
Acids,"Acids, NSW, Coal Coast","Australia, NSW, Coal Coast",Australia,NSW,Coal Coast,-34.41176471,150.9035951,Australia/Sydney,intermediate,advanced,WOL,Oceania,acids-nsw-coal-coast-australia,TRUE,,,,,
Acropolis,"Acropolis, Greek Islands","Greece, Greek Islands",Greece,,Greek Islands,36.09625623,28.08538914,UTC,intermediate,advanced,RHO,Other,acropolis-greek-islands-greece,TRUE,Rhodes Regional Unit,0,30528,Naxos Island,13.4
Admirals,"Admirals, East England","UK, East England",UK,,East England,54.48927379,-0.590429306,Europe/London,intermediate,advanced,MME,Europe,admirals-east-england-uk,TRUE,North Yorkshire,0,,,
Adonis,Adonis,Maldives,Maldives,,,2.184028435,73.10043097,UTC,intermediate,advanced,TMF,Asia,adonis-maldives,TRUE,,,,,
Adraga,"Adraga, Central Lisboa","Portugal, Central Lisboa",Portugal,,Central Lisboa,38.80326295,-9.485321045,Europe/Lisbon,intermediate,advanced,CAT,Europe,adraga-central-lisboa-portugal,TRUE,,,,,
Adria,"Adria, Mainland","Italy, Mainland",Italy,,Mainland,42.83333,12.83333,UTC,intermediate,advanced,PEG,Europe,adria-mainland-italy,TRUE,Campello sul Clitunno,0,12548,Campello sul Clitunno,4.9
Affenrucken point,Affenrucken point,Namibia,Namibia,,,-27.93072075,15.67551613,UTC,advanced,advanced,RHN,Other,affenrucken-point-namibia,TRUE,,,,,
Afulu,"Afulu, Sumatra Islands","Indonesia, Sumatra Islands",Indonesia,,Sumatra Islands,1.259721342,97.22986221,Asia/Jakarta,advanced,advanced,GNS,Asia,afulu-sumatra-islands-indonesia,TRUE,North Nias,0,,,
Agamemnon/Kouloura Island,"Agamemnon/Kouloura Island, Pelloponisos","Greece, Pelloponisos",Greece,,Pelloponisos,36.8060892,21.72134399,UTC,intermediate,advanced,KLX,Other,agamemnon-kouloura-island-pelloponisos-greece,TRUE,Messenia Regional Unit,0,30528,Naxos Island,13.4
Agami,Agami,Egypt,Egypt,,,31.12790541,29.77329254,UTC,intermediate,advanced,HBE,Other,agami-egypt,TRUE,Alexandria,0,6652,Alexandria,19.9
aganoa,aganoa,Samoa Western,Samoa Western,,,-13.77508655,-172.2872221,UTC,beginner,intermediate,MXS,Other,aganoa-samoa-western,TRUE,,,,,
Agate Beach,"Agate Beach, North West, Oregon Central","USA, North West, Oregon Central",USA,North West,Oregon Central,44.65363474,-124.0629387,America/Los_Angeles,beginner,intermediate,ONP,North America,agate-beach-north-west-oregon-central-usa,TRUE,Lincoln County,0,21462,Lincoln City,34.0
Agate Beach North,"Agate Beach North, North West, Oregon Central","USA, North West, Oregon Central",USA,North West,Oregon Central,44.67226946,-124.0680242,America/Los_Angeles,beginner,intermediate,ONP,North America,agate-beach-north-north-west-oregon-central-usa,TRUE,Lincoln County,0,21462,Lincoln City,34.0
Agger,Agger,Denmark,Denmark,,,56.72476063,8.221206665,UTC,beginner,intermediate,TED,Europe,agger-denmark,TRUE,,,,,
Agia Fotia,"Agia Fotia, Crete Island","Greece, Crete Island",Greece,,Crete Island,35.19605901,26.15085393,UTC,intermediate,advanced,JSH,Other,agia-fotia-crete-island-greece,TRUE,Sitia Municipal Unit,0,30528,Naxos Island,13.4
Agios Dimitrios,"Agios Dimitrios, Pelloponisos","Greece, Pelloponisos",Greece,,Pelloponisos,37.80507945,23.85121107,UTC,intermediate,advanced,ATH,Other,agios-dimitrios-pelloponisos-greece,TRUE,Regional Unit of East Attica,0,30528,Naxos Island,13.4
Agios Giorgios - Corfu,"Agios Giorgios - Corfu, Ionian Sea","Greece, Ionian Sea",Greece,,Ionian Sea,39.7149779,19.68114853,UTC,intermediate,advanced,CFU,Other,agios-giorgios-corfu-ionian-sea-greece,TRUE,Corfu Regional Unit,0,30528,Naxos Island,13.4
Aglayankaya,"Aglayankaya, Black-Sea","Turkey, Black-Sea",Turkey,,Black-Sea,41.1751331,29.62474108,UTC,intermediate,advanced,SAW,Other,aglayankaya-black-sea-turkey,TRUE,Şile,0,1667168,Beyoglu,57.2
Agnes Water,"Agnes Water, QLD, Central-Queensland","Australia, QLD, Central-Queensland",Australia,QLD,Central-Queensland,-24.20829872,151.908946,Australia/Sydney,beginner,intermediate,GLT,Oceania,agnes-water-qld-central-queensland-australia,TRUE,Gladstone Regional,0,,,
Agrili,"Agrili, Pelloponisos","Greece, Pelloponisos",Greece,,Pelloponisos,37.21561693,21.59709871,UTC,intermediate,advanced,KLX,Other,agrili-pelloponisos-greece,TRUE,Messenia Regional Unit,0,30528,Naxos Island,13.4
Aguçadoura,"Aguçadoura, North Porto","Portugal, North Porto",Portugal,,North Porto,41.43037188,-8.787689209,Europe/Lisbon,intermediate,advanced,OPO,Europe,agucadoura-north-porto-portugal,TRUE,,,,,
Aguilar,"Aguilar, Asturias","Spain, Asturias",Spain,,Asturias,43.55501753,-6.116713285,Europe/Madrid,beginner,intermediate,OVD,Europe,aguilar-asturias-spain,TRUE,,,,,
Agujas,"Agujas, Pacific South","Costa Rica, Pacific South",Costa Rica,,Pacific South,9.722698754,-84.65392828,UTC,intermediate,advanced,JAP,Central America,agujas-pacific-south-costa-rica,TRUE,,,,,
Ahogados,"Ahogados, Central Santiago","Chile, Central Santiago",Chile,,Central Santiago,-33.39896018,-71.70168042,UTC,intermediate,advanced,VAP,South America,ahogados-central-santiago-chile,TRUE,,,,,
Ahtony,Ahtony,Bulgaria,Bulgaria,,,42.10090354,27.94314623,UTC,beginner,intermediate,BOJ,Other,ahtony-bulgaria,TRUE,,,,,
Aigrettes left,Aigrettes left,Reunion,Reunion,,,-21.03700245,55.21677017,UTC,intermediate,advanced,RUN,Other,aigrettes-left-reunion,TRUE,,,,,
Aigrettes Right,Aigrettes Right,Reunion,Reunion,,,-21.03447145,55.21806031,UTC,intermediate,advanced,RUN,Other,aigrettes-right-reunion,TRUE,,,,,
Aiguadolc,"Aiguadolc, Mediterranean","Spain, Mediterranean",Spain,,Mediterranean,41.23434893,1.828579903,Europe/Madrid,beginner,intermediate,BCN,Europe,aiguadolc-mediterranean-spain,TRUE,,,,,
Aileens,"Aileens, West","Ireland, West",Ireland,,West,52.98410026,-9.438929558,UTC,advanced,advanced,INQ,Europe,aileens-west-ireland,TRUE,,,,,
Ain Diab Porte 15,"Ain Diab Porte 15, North","Morocco, North",Morocco,,North,33.58397348,-7.692701519,Africa/Casablanca,beginner,intermediate,CMN,Africa,ain-diab-porte-15-north-morocco,TRUE,Casablanca,0,4281,Casablanca,6.9
Ain El Turk,Ain El Turk,Algeria,Algeria,,,35.73777232,-0.735901594,UTC,beginner,intermediate,ORN,Other,ain-el-turk-algeria,TRUE,,,,,
Airport left,Airport left,St Barthelemy,St Barthelemy,,,17.90714102,-62.83952236,UTC,intermediate,advanced,SBH,Other,airport-left-st-barthelemy,TRUE,,,,,
Airport right,Airport right,Maldives,Maldives,,,-0.702900516,73.17156315,UTC,intermediate,advanced,GAN,Asia,airport-right-maldives,TRUE,Addu City,0,,,
Airport Rights,"Airport Rights, New Zealand NI, SW Coast","New Zealand, New Zealand NI, SW Coast",New Zealand,New Zealand NI,SW Coast,-41.33719517,174.8071146,Pacific/Auckland,intermediate,advanced,WLG,Oceania,airport-rights-new-zealand-ni-sw-coast-new-zealand,TRUE,Lower Hutt,0,4587,Lower Hutt,16.2
Airport's,"Airport's, Bali","Indonesia, Bali",Indonesia,,Bali,-8.745123882,115.1503229,Asia/Jakarta,intermediate,advanced,DPS,Asia,airport-s-bali-indonesia,TRUE,Badung,0,,,
Aivados,"Aivados, South","Portugal, South",Portugal,,South,37.80627119,-8.797385201,Europe/Lisbon,beginner,intermediate,PRM,Europe,aivados-south-portugal,TRUE,,,,,
Aizkorri,"Aizkorri, Pais Vasco","Spain, Pais Vasco",Spain,,Pais Vasco,43.38197093,-3.016777039,Europe/Madrid,intermediate,advanced,BIO,Europe,aizkorri-pais-vasco-spain,TRUE,,,,,
Ajo,"Ajo, Cantabria","Spain, Cantabria",Spain,,Cantabria,43.49891578,-3.61323595,Europe/Madrid,beginner,intermediate,SDR,Europe,ajo-cantabria-spain,TRUE,,,,,
Akabane Long Beach,"Akabane Long Beach, Shizuoka","Japan, Shizuoka",Japan,,Shizuoka,34.6,137.2,UTC,beginner,intermediate,NGO,Asia,akabane-long-beach-shizuoka-japan,TRUE,Tahara,0,1493482,Tahara,9.6
Akaehama,"Akaehama, Kyushu","Japan, Kyushu",Japan,,Kyushu,31.39304689,131.0724735,UTC,intermediate,advanced,KOJ,Asia,akaehama-kyushu-japan,TRUE,Higashikushira,0,25713,Naha,14.6
