name,full_location_name,country,country_clean,state_province,region_detail,latitude,longitude,timezone,skill_level_min,skill_level_max,primary_airport_iata,region_major,slug,active,nearest_city,nearest_city_distance_km,hotellook_city_id,hotellook_city_name,hotellook_city_distance_km
Ponta do Cepílio,"Ponta do Cepílio, Rio de Janeiro City","Brazil, Rio de Janeiro City",Brazil,,Rio de Janeiro City,-23.34398955,-44.71178055,America/Sao_Paulo,intermediate,advanced,JPY,South America,ponta-do-cepilio-rio-de-janeiro-city-brazil,TRUE,Paraty,0,1506824,Paraty-Mirim,14.0
Ponta do Ouro,Ponta do Ouro,Mozambique,Mozambique,,,-26.84375398,32.89491177,UTC,intermediate,advanced,PDD,Other,ponta-do-ouro-mozambique,TRUE,,,,,
Ponta do Pargo,Ponta do Pargo,Madeira,Madeira,,,32.8078042,-17.26251841,UTC,beginner,intermediate,FNC,Other,ponta-do-pargo-madeira,TRUE,,,,,
Ponta Do Rapa,"Ponta Do Rapa, Florianopolis","Brazil, Florianopolis",Brazil,,Florianopolis,-27.38083726,-48.4205246,America/Sao_Paulo,intermediate,advanced,FLN,South America,ponta-do-rapa-florianopolis-brazil,TRUE,,,,,
Ponta negra,"Ponta negra, Rio Grande Do Norte","Brazil, Rio Grande Do Norte",Brazil,,Rio Grande Do Norte,-5.879271282,-35.17127037,America/Sao_Paulo,intermediate,advanced,NAT,South America,ponta-negra-rio-grande-do-norte-brazil,TRUE,,,,,
Ponta Negra - Maricá - RJ,"Ponta Negra - Maricá - RJ, Rio de Janeiro Norte","Brazil, Rio de Janeiro Norte",Brazil,,Rio de Janeiro Norte,-22.95818056,-42.69735,America/Sao_Paulo,intermediate,advanced,JMR,South America,ponta-negra-marica-rj-rio-de-janeiro-norte-brazil,TRUE,,,,,
Ponta Pequina,Ponta Pequina,Madeira,Madeira,,,32.74650009,-17.22065091,UTC,beginner,intermediate,FNC,Other,ponta-pequina-madeira,TRUE,,,,,
Ponta Preta,Ponta Preta,Cape Verde,Cape Verde,,,16.61250588,-22.93258667,UTC,intermediate,advanced,SID,Other,ponta-preta-cape-verde,TRUE,,,,,
Ponta Ruiva,"Ponta Ruiva, Algarve","Portugal, Algarve",Portugal,,Algarve,37.06925207,-8.966088295,Europe/Lisbon,beginner,intermediate,PRM,Europe,ponta-ruiva-algarve-portugal,TRUE,,,,,
Ponta Zavora,Ponta Zavora,Mozambique,Mozambique,,,-24.51745182,35.20517349,UTC,intermediate,advanced,INH,Other,ponta-zavora-mozambique,TRUE,,,,,
Pontaillac,"Pontaillac, Charente maritime","France, Charente maritime",France,,Charente maritime,45.62592359,-1.053142548,Europe/Paris,beginner,intermediate,RYN,Europe,pontaillac-charente-maritime-france,TRUE,,,,,
Pontal,"Pontal, Bahia Sul","Brazil, Bahia Sul",Brazil,,Bahia Sul,-14.26355124,-38.99356842,America/Sao_Paulo,beginner,intermediate,MUU,South America,pontal-bahia-sul-brazil,TRUE,,,,,
Pontão do leblon,"Pontão do leblon, Rio de Janeiro City","Brazil, Rio de Janeiro City",Brazil,,Rio de Janeiro City,-22.98996287,-43.22648048,America/Sao_Paulo,intermediate,advanced,SDU,South America,pontao-do-leblon-rio-de-janeiro-city-brazil,TRUE,,,,,
Ponto,"Ponto, California, San Diego County","USA, California, San Diego County",USA,California,San Diego County,33.09666491,-117.3159385,America/Los_Angeles,beginner,intermediate,CLD,North America,ponto-california-san-diego-county-usa,TRUE,Carlsbad,0,17045,Carlsbad,7.6
Ponytails,"Ponytails, California, San Luis Obispo","USA, California, San Luis Obispo",USA,California,San Luis Obispo,35.59841376,-121.1320031,America/Los_Angeles,beginner,intermediate,SYL,North America,ponytails-california-san-luis-obispo-usa,TRUE,San Luis Obispo County,0,17378,San Luis Obispo,57.0
Ponzos,"Ponzos, Galicia","Spain, Galicia",Spain,,Galicia,43.5557105,-8.269167915,Europe/Madrid,beginner,intermediate,LCG,Europe,ponzos-galicia-spain,TRUE,,,,,
