full_location_name,country_clean,latitude,longitude,timezone,primary_airport_iata,region_major,slug,active,nearest,hotellook_city_id,skill_level_min,skill_level_max,hotellook_city_id_airport
"Mengkudu, Savu Sea",Indonesia,-10.31440128,120.1552324,Asia/Jakarta,WGP,Asia,mengkudu-savu-sea-indonesia,TRUE,Kecamatan Karera,,intermediate,advanced,
"Meniakos, Pais Vasco",Spain,43.39701847,-2.986865044,Europe/Madrid,BIO,Europe,meniakos-pais-vasco-spain,TRUE,,,intermediate,advanced,3235
"Menorca - Son Bou, Mediterranean",Spain,39.90170365,4.069404602,Europe/Madrid,MAH,Europe,menorca-son-bou-mediterranean-spain,TRUE,Alaior,24602,beginner,intermediate,
"Mentone, VIC, Melbourne East",Australia,-37.98909406,145.0583696,Australia/Sydney,MBW,Oceania,mentone-vic-melbourne-east-australia,TRUE,,,beginner,intermediate,
"Merewether - Ladies, NSW, Newcastle",Australia,-32.94904224,151.7575407,Australia/Sydney,BEO,Oceania,merewether-ladies-nsw-newcastle-australia,TRUE,Newcastle,5498,intermediate,advanced,24178
"Merimbula bar, NSW, Far South",Australia,-36.89760631,149.9238968,Australia/Sydney,MIM,Oceania,merimbula-bar-nsw-far-south-australia,TRUE,,,intermediate,advanced,5439
"Merkez Sile, Black-Sea",Turkey,41.15849525,29.61914063,UTC,SAW,Middle East,merkez-sile-black-sea-turkey,TRUE,Şile,1667168,intermediate,advanced,2764
"Mermaid Beach, QLD, Gold Coast",Australia,-28.0416827,153.4360886,Australia/Sydney,SHQ,Oceania,mermaid-beach-qld-gold-coast-australia,TRUE,Gold Coast City,,beginner,intermediate,
"Meron, Cantabria",Spain,43.39095312,-4.380970001,Europe/Madrid,SDR,Europe,meron-cantabria-spain,TRUE,San Vicente de la Barquera,3999,intermediate,advanced,4050
"Meroo Headland, NSW, South Coast",Australia,-35.47477312,150.391202,Australia/Sydney,MYA,Oceania,meroo-headland-nsw-south-coast-australia,TRUE,Shoalhaven City Council,,beginner,intermediate,5470
"Meroo Headland Wedge, NSW, South Coast",Australia,-35.4788702,150.3950644,Australia/Sydney,MYA,Oceania,meroo-headland-wedge-nsw-south-coast-australia,TRUE,Shoalhaven City Council,,intermediate,advanced,5470
"Mers-Les-Bains, Normandy",France,50.06878525,1.385017633,Europe/Paris,DPE,Europe,mers-les-bains-normandy-france,TRUE,Mers-les-Bains,1504022,beginner,intermediate,
"Mesa Lane, California, Santa Barbara",USA,34.39655908,-119.7312811,America/Los_Angeles,SBA,North America,mesa-lane-california-santa-barbara-usa,TRUE,Santa Barbara,17389,intermediate,advanced,
"Messanges, Landes",France,43.81604278,-1.405220032,Europe/Paris,BIQ,Europe,messanges-landes-france,TRUE,Messanges,15333,beginner,intermediate,14344
"Mettams pool, WA, Perth City",Australia,-31.86697496,115.7513067,Australia/Sydney,JFM,Oceania,mettams-pool-wa-perth-city-australia,TRUE,Perth,5536,beginner,intermediate,
"Miami Platja, Mediterranean",Spain,40.99320441,0.933312178,Europe/Madrid,REU,Europe,miami-platja-mediterranean-spain,TRUE,,,beginner,intermediate,3936
"Miami State High School, QLD, Gold Coast",Australia,-28.0766378,153.4493065,Australia/Sydney,OOL,Oceania,miami-state-high-school-qld-gold-coast-australia,TRUE,,,beginner,intermediate,5199
Middelkerke,Belgium,51.18558405,2.821083069,UTC,OST,Europe,middelkerke-belgium,TRUE,Middelkerke,2425,beginner,intermediate,2301
"Middle Access, South East, North Florida",USA,30.08424587,-81.3368082,America/Los_Angeles,UST,North America,middle-access-south-east-north-florida-usa,TRUE,Saint Johns County,,beginner,intermediate,
"Middle river wedge, SA, Kangeroo Island",Australia,-35.666571,137.0722961,Australia/Sydney,PDN,Oceania,middle-river-wedge-sa-kangeroo-island-australia,TRUE,,,intermediate,advanced,
"Middles, NSW, Mid North Coast",Australia,-31.42719834,152.9219413,Australia/Sydney,PQQ,Oceania,middles-nsw-mid-north-coast-australia,TRUE,,,intermediate,advanced,5551
Middles,Puerto Rico,18.25,-66.5,UTC,PSE,Caribbean,middles-puerto-rico,TRUE,Orocovis,,intermediate,advanced,6781
Middles,Tonga,-18.75705555,-174.1008568,UTC,VAV,Oceania,middles-tonga,TRUE,,,intermediate,advanced,
"Middles, California, Orange County",USA,33.60241355,-117.9130626,America/Los_Angeles,SNA,North America,middles-california-orange-county-usa,TRUE,Newport Beach,17283,intermediate,advanced,
"Middlesex, North East, New Jersey",USA,39.69730603,-74.13636714,America/Los_Angeles,MJX,North America,middlesex-north-east-new-jersey-usa,TRUE,Ocean County,20462,beginner,intermediate,
"Middleton Point, SA, York Peninsula",Australia,-35.5149981,138.7084758,Australia/Sydney,ADL,Oceania,middleton-point-sa-york-peninsula-australia,TRUE,Alexandrina Council,,beginner,intermediate,5052
"Middleton [Beach], SA, York Peninsula",Australia,-35.52971166,138.7508011,Australia/Sydney,ADL,Oceania,middleton-beach-sa-york-peninsula-australia,TRUE,,,beginner,intermediate,5052
"Midgets, West Coast",Canada,48.49732701,-123.3329487,UTC,YWH,North America,midgets-west-coast-canada,TRUE,Saanich,25205,intermediate,advanced,
Midigama Left (market),Sri Lanka,5.962931256,80.39065361,UTC,KCT,Asia,midigama-left-market-sri-lanka,TRUE,,,intermediate,advanced,881
Midigama Right,Sri Lanka,5.963576838,80.38374424,UTC,KCT,Asia,midigama-right-sri-lanka,TRUE,,,intermediate,advanced,881
Mikados (outside),Maldives,2.191282704,73.12050462,UTC,TMF,Asia,mikados-outside-maldives,TRUE,,,intermediate,advanced,
"Mikotai, New Zealand NI, West Coast Taranaki",New Zealand,-39.05427623,174.0293169,Pacific/Auckland,NPL,Oceania,mikotai-new-zealand-ni-west-coast-taranaki-new-zealand,TRUE,New Plymouth,4609,intermediate,advanced,4609
"Milagro, Sinaloa-Nayarit",Mexico,23.7956332,-106.8819952,America/Mexico_City,MZT,North America,milagro-sinaloa-nayarit-mexico,TRUE,Elota,,intermediate,advanced,4439
"Milbrook, Cornwall North",UK,50.77151995,-4.582650661,Europe/London,NQY,Europe,milbrook-cornwall-north-uk,TRUE,Cornwall,7309,beginner,intermediate,8052
"Mill Bay, Alaska",USA,57.82100078,-152.3513603,America/Los_Angeles,KDK,North America,mill-bay-alaska-usa,TRUE,Kodiak Island Borough,,beginner,intermediate,
"Millars Point, South East Port Elizabeth",South Africa,-33.98032029,25.66316128,Africa/Johannesburg,PLZ,Africa,millars-point-south-east-port-elizabeth-south-africa,TRUE,Gqeberha,,intermediate,advanced,788
"Mills point, NSW, Far South",Australia,-35.669151,150.3075171,Australia/Sydney,MYA,Oceania,mills-point-nsw-far-south-australia,TRUE,Eurobodalla Shire Council,,intermediate,advanced,5470
"Milnerton, Cape Town",South Africa,-33.88122046,18.48598838,Africa/Johannesburg,CPT,Africa,milnerton-cape-town-south-africa,TRUE,Cape Town,678,intermediate,advanced,678
Mimi's Reef,Taiwan,23.54187798,121.5099907,UTC,HUN,Asia,mimi-s-reef-taiwan,TRUE,,,intermediate,advanced,6680
"Mimizan, Landes",France,44.21463268,-1.299090385,Europe/Paris,BOD,Europe,mimizan-landes-france,TRUE,,,beginner,intermediate,14378
"Minamurra - Mystics, NSW, South Coast",Australia,-34.62437968,150.859108,Australia/Sydney,WOL,Oceania,minamurra-mystics-nsw-south-coast-australia,TRUE,Shellharbour City Council,,intermediate,advanced,5709
"Minda Bank, SA, York Peninsula",Australia,-35.00660649,138.5113549,Australia/Sydney,ADL,Oceania,minda-bank-sa-york-peninsula-australia,TRUE,Adelaide,5052,beginner,intermediate,5052
"Mindelo, North Porto",Portugal,41.30708447,-8.740192652,Europe/Lisbon,OPO,Europe,mindelo-north-porto-portugal,TRUE,Senhora da Hora,4744,intermediate,advanced,4884
"Mini Bluff, TAS, North Coast",Australia,-40.86272222,145.4208755,Australia/Sydney,SIO,Oceania,mini-bluff-tas-north-coast-australia,TRUE,Circular Head,,beginner,intermediate,
"Mini pipe, Central Peniche",Portugal,39.3246873,-9.362454414,Europe/Lisbon,LIS,Europe,mini-pipe-central-peniche-portugal,TRUE,Peniche,1525562,intermediate,advanced,4806
"mini pipe, NSW, South Coast",Australia,-34.56360715,150.8741283,Australia/Sydney,WOL,Oceania,mini-pipe-nsw-south-coast-australia,TRUE,,,beginner,intermediate,5709
"Minicapo, Sicily Sardinia",Italy,40.02938895,8.392181396,UTC,FNU,Europe,minicapo-sicily-sardinia-italy,TRUE,,,intermediate,advanced,
"Minicoy pier, Kerala",India,8.288570425,73.06791508,UTC,HRF,Asia,minicoy-pier-kerala-india,TRUE,,,beginner,intermediate,
"Minis, NSW, Central",Australia,-33.28835989,151.5718889,Australia/Sydney,BEO,Oceania,minis-nsw-central-australia,TRUE,,,beginner,intermediate,24178
"minnie waters, NSW, Banana Coast",Australia,-29.75852837,153.2947254,Australia/Sydney,GFN,Oceania,minnie-waters-nsw-banana-coast-australia,TRUE,,,beginner,intermediate,5306
"Mira, Shizuoka",Japan,34.6153333,137.2261637,UTC,NGO,Asia,mira-shizuoka-japan,TRUE,Tahara,1493482,intermediate,advanced,25627
Miradouro,Angola,-9.250378166,13.09192657,UTC,LAD,Africa,miradouro-angola,TRUE,,,intermediate,advanced,24363
"Miramar, North",Argentina,-38.27433941,-57.82954216,UTC,MJR,South America,miramar-north-argentina,TRUE,,,intermediate,advanced,
Miramar,Nicaragua,12.16875,-86.76447778,UTC,MGA,Central America,miramar-nicaragua,TRUE,Nagarote,1489472,intermediate,advanced,12261
"Mircos Point, Greek Islands",Greece,36.38359165,28.02134871,UTC,RHO,Europe,mircos-point-greek-islands-greece,TRUE,Rhodes Regional Unit,30528,intermediate,advanced,30541
"Miri miri, Raiatea Tahaa",French Polynesia,-16.76135002,-151.5048981,UTC,RFP,Oceania,miri-miri-raiatea-tahaa-french-polynesia,TRUE,,,intermediate,advanced,
Mirissa,Sri Lanka,5.942661724,80.45562744,UTC,KCT,Asia,mirissa-sri-lanka,TRUE,,,intermediate,advanced,881
"mirleft, South",Morocco,29.55315051,-10.05661011,Africa/Casablanca,GLN,Africa,mirleft-south-morocco,TRUE,Mirleft,1467157,intermediate,advanced,1479698
"Miserys, WA, Albany",Australia,-35.09617576,117.9763412,Australia/Sydney,ALH,Oceania,miserys-wa-albany-australia,TRUE,Albany,,intermediate,advanced,5057
"Misquamicut State Beach, North East, Northern New England",USA,41.3238618,-71.79627657,America/Los_Angeles,WST,North America,misquamicut-state-beach-north-east-northern-new-england-usa,TRUE,Westerly,21931,beginner,intermediate,
"Missingham Bridge, NSW, North",Australia,-28.869274,153.578589,Australia/Sydney,BNK,Oceania,missingham-bridge-nsw-north-australia,TRUE,Ballina Shire Council,,beginner,intermediate,5083
"Mission Beach, California, San Diego County",USA,32.7601575,-117.2562218,America/Los_Angeles,SAN,North America,mission-beach-california-san-diego-county-usa,TRUE,San Diego County,1517272,beginner,intermediate,
"Misty Cliffs, Cape Town",South Africa,-34.18170171,18.37772369,Africa/Johannesburg,CPT,Africa,misty-cliffs-cape-town-south-africa,TRUE,City of Cape Town,678,intermediate,advanced,678
"Mitchell's Cove, California, Santa Cruz",USA,36.95005898,-122.0429885,America/Los_Angeles,WVI,North America,mitchell-s-cove-california-santa-cruz-usa,TRUE,Santa Cruz,17392,intermediate,advanced,
"Miyzaki Wave dome, Kyushu",Japan,31.9552209,131.4685929,UTC,KMI,Asia,miyzaki-wave-dome-kyushu-japan,TRUE,Miyazaki,25698,beginner,intermediate,
Mizata,El Salvador,13.5100347,-89.59590912,UTC,ILS,Central America,mizata-el-salvador,TRUE,Cantón Santa María Mizata,1511644,intermediate,advanced,8702
