name,country,country_clean,state_province,region_detail,latitude,longitude,timezone,skill_level_min,skill_level_max,primary_airport_iata,region_major,slug,active
Daniels Reef,"New Zealand, New Zealand NI, NE Coast",New Zealand,New Zealand NI,NE Coast,-36.29883627,174.8037672,Pacific/Auckland,intermediate,advanced,GBZ,Oceania,daniels-reef,TRUE
Dar Zagaja,"Italy, Mainland",Italy,,Mainland,41.6708864,12.3956573,UTC,beginner,intermediate,FCO,Europe,dar-zagaja,TRUE
Dari Rights,Solomon,Solomon,,,-7.431240933,158.3190823,UTC,intermediate,advanced,VAO,Other,dari-rights,TRUE
Dark Reef,Vietnam,Vietnam,,,12.16184902,109.2051315,UTC,intermediate,advanced,CXR,Other,dark-reef,TRUE
Darne,Mauritius,Mauritius,,,-20.45133195,57.70927191,UTC,beginner,intermediate,MRU,Other,darne,TRUE
Dashi - Honeymoon Bay,Taiwan,Taiwan,,,24.9323658,121.8864226,UTC,beginner,intermediate,TSA,Other,dashi---honeymoon-bay,TRUE
Dauphin Island Pier,"USA, Gulf Coast, Alabama",USA,Gulf Coast,Alabama,30.25007308,-88.07543457,America/Los_Angeles,beginner,intermediate,GUF,North America,dauphin-island-pier,TRUE
Davenport,"USA, California, Santa Cruz",USA,California,Santa Cruz,37.00940688,-122.191658,America/Los_Angeles,beginner,intermediate,WVI,North America,davenport,TRUE
Daves Backyard,"USA, Hawaii, Oahu",USA,Hawaii,Oahu,21.30646769,-158.0201769,America/Los_Angeles,intermediate,advanced,JRF,North America,daves-backyard,TRUE
Daytona Beach,"USA, South East, North Florida",USA,South East,North Florida,29.17224818,-80.97919464,America/Los_Angeles,beginner,intermediate,DAB,North America,daytona-beach,TRUE
Dazendorf,Germany,Germany,,,54.37203358,10.91466486,UTC,beginner,intermediate,MRW,Europe,dazendorf,TRUE
De Haan,Belgium,Belgium,,,51.27970269,3.033192158,UTC,beginner,intermediate,OST,Europe,de-haan,TRUE
De Kelders,"South Africa, South Garden Route",South Africa,,South Garden Route,-34.55877417,19.35065746,Africa/Johannesburg,intermediate,advanced,OVG,Africa,de-kelders,TRUE
